20260309-000730-8168 39083 * main            (benchmark.cc:404): Starting benchmark.
20260309-000731-4188 39083 * main            (benchmark.cc:623): Creating a default paritioner!
20260309-000731-4191 39083 * Client          (client.cc:75):     Initializing StrongStore client with id [3]
20260309-000744-1170 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000744-1170 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000744-1170 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000744-5200 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000744-5200 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000744-5200 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000744-5201 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000744-9230 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000744-9230 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000744-9231 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000744-9231 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000745-3263 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000745-3264 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000745-3264 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000745-3264 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000745-7290 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000745-7291 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000745-7291 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000745-7291 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000746-1314 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000746-1315 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000746-1315 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000746-1315 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000746-5348 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000746-5349 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000746-5349 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
